Tag|Description
CC|conjunction, coordinating
CD|numeral, cardinal
DT|determiner
EX|existential there
FW|foreign word
IN|preposition or conjunction, subordinating
JJ|adjective or numeral, ordinal
JJR|adjective, comparative
JJS|adjective, superlative
LS|list item marker
MD|modal auxiliary
NN|noun, common, singular or mass
NNP|noun, proper, singular
NNPS|noun, proper, plural
NNS|noun, common, plural
PDT|pre-determiner
POS|genitive marker
PRP|pronoun, personal
PRP$|pronoun, possessive
RB|adverb
RBR|adverb, comparative
RBS|adverb, superlative
RP|particle
SYM|symbol
TO|"to" as preposition or infinitive marker
UH|interjection
VB|verb, base form
VBD|verb, past tense
VBG|verb, present participle or gerund
VBN|verb, past participle
VBP|verb, present tense, not 3rd person singular
VBZ|verb, present tense, 3rd person singular
WDT|WH-determiner
WP|WH-pronoun
WP$|WH-pronoun, possessive
WRB|Wh-adverb
