which,1003,WDT
not,988,RB
will,854,MD
We,503,NNP
people,481,NNS
must,360,MD
should,321,MD
may,320,MD
great,311,JJ
shall,310,MD
more,304,RBR
Government,297,NNP
States,284,NNPS
country,246,NN
other,245,JJ
world,241,NN
only,236,RB
own,235,JJ
new,225,JJ
public,223,NN
one,221,CD
would,213,MD
power,212,NN
nation,211,NN
government,209,NN
peace,204,NN
such,191,JJ
now,188,RB
time,188,NN
Constitution,182,NNP
free,169,VBP
most,168,RBS
America,167,NNP
United,166,NNP
Our,158,NNP
nations,157,NNS
freedom,152,NN
made,150,VBN
American,145,JJ
citizens,142,NNS
make,134,VBP
national,134,JJ
war,134,NN
men,130,NNS
years,129,NNS
spirit,126,NN
good,124,NN
To,120,NNP
laws,120,NNS
rights,119,NNS
never,118,RB
Congress,116,NNP
best,116,JJS
just,116,RB
duty,115,NN
This,111,NNP
work,110,NN
Union,109,NNP
law,108,NN
life,108,NN
hope,107,NN
well,106,RB
political,105,JJ
right,105,NN
justice,103,NN
know,103,VBP
If,102,NNP
They,102,NNP
foreign,99,JJ
interests,99,NNS
liberty,99,NN
long,94,RB
part,94,NN
policy,92,NN
human,91,JJ
principles,91,NNS
many,90,JJ
first,88,JJ
man,88,NN
common,87,JJ
same,86,JJ
For,85,NNP
duties,85,NNS
powers,85,NNS
whole,85,JJ
faith,84,NN
President,83,NNP
support,83,VB
There,81,NNP
system,81,NN
God,80,NNP
confidence,80,NN
necessary,79,JJ
present,79,JJ
far,78,JJ
let,78,VB
always,76,RB
high,76,JJ
history,76,NN
ever,75,RB
less,75,RBR
believe,74,VBP
purpose,74,NN
Let,73,NNP
better,73,JJR
equal,73,JJ
still,73,RB
day,72,NN
future,72,NN
need,72,VBP
way,72,NN
could,71,MD
ourselves,71,NNS
party,71,NN
means,70,NNS
progress,69,NN
find,68,VBP
institutions,68,NNS
interest,68,NN
service,68,NN
might,67,MD
Federal,66,NNP
come,66,VBN
force,66,NN
place,66,NN
whose,66,WP$
give,65,VB
today,65,NN
full,64,JJ
strength,64,NN
Americans,63,NNPS
here,63,RB
important,63,JJ
old,63,JJ
proper,63,JJR
secure,63,NN
office,62,NN
take,62,VB
where,62,WRB
yet,62,RB
even,61,JJ
things,61,NNS
A,60,NNP
These,60,NNP
ought,60,MD
see,60,VBP
Executive,59,NNP
State,59,NNP
business,59,NN
found,59,VBN
given,59,VBN
home,59,NN
others,59,NNS
seek,59,NN
Nation,58,NNP
change,58,NN
land,58,NN
subject,58,JJ
Inaugural,57,NNP
administration,57,NN
prosperity,57,NN
responsibility,57,NN
revenue,57,NN
security,57,NN
true,57,JJ
Address,56,NNP
order,56,NN
stand,56,VBP
trust,56,NN
become,55,VB
influence,55,NN
question,55,NN
respect,55,VB
together,55,RB
called,54,VBN
cause,54,NN
principle,54,NN
again,53,RB
commerce,53,NN
honor,53,NN
meet,53,JJ
protection,53,NN
With,52,NNP
action,52,NN
constitutional,52,JJ
course,52,NN
greater,52,JJR
help,52,VB
sense,52,NN
century,51,NN
general,51,JJ
individual,51,JJ
authority,50,NN
being,50,VBG
character,50,NN
civil,50,NN
continue,50,VBP
however,50,RB
oath,50,NN
use,50,NN
citizen,49,NN
domestic,48,JJ
done,48,VBN
No,47,NNP
act,47,VB
control,47,NN
economic,47,JJ
fellow,47,NN
preserve,47,VB
strong,47,JJ
opinion,46,NN
resources,46,NNS
trade,46,NN
union,46,NN
condition,45,NN
countrymen,45,NNS
effort,45,NN
live,45,VBP
times,45,NNS
ask,44,VBP
end,44,NN
moral,44,JJ
nothing,44,NN
past,44,JJ
purposes,44,NNS
regard,44,NN
wisdom,44,NN
Republic,43,NNP
economy,43,NN
experience,43,NN
last,43,JJ
state,43,NN
children,42,NNS
defense,42,NN
democracy,42,NN
desire,42,NN
exercise,42,VB
love,42,NN
maintain,42,VB
therefore,42,RB
care,41,NN
local,41,JJ
look,41,VBP
success,41,NN
March,40,NNP
essential,40,JJ
form,40,NN
governments,40,NNS
greatest,40,JJS
having,40,VBG
lives,40,NNS
opportunity,40,NN
taken,40,VBN
two,40,CD
bring,39,VB
hands,39,NNS
happiness,39,NN
knowledge,39,NN
labor,39,NN
once,39,RB
promise,39,NN
protect,39,VB
task,39,NN
blessings,38,NNS
circumstances,38,NNS
highest,38,JJS
increase,38,NN
measures,38,VBZ
mind,38,NN
relations,38,NNS
say,38,NN
aid,37,NN
alone,37,RB
body,37,NN
